AI,AREA_MN,CONTAG,DEM,ERF,BUA proportion,NDVI,PD,Population density,Road network density,Soil permeability,Green space ratio,Drainage network density
0.629416749,0.512568505,0.606289462,0.165787751,0.375527893,0.944177974,0.254673548,0.622569285,0.96043639,0.966653658,0.272269043,0.422700054,0.149655326
0.263697042,0.223940234,0.859754169,0.09248317,0.317081712,0.961550245,0.307348986,0.323689664,0.951787089,0.97992051,0.523509649,0.523135547,0.106960196
0.575199948,0.460544975,0.685138389,0.19490012,0.435187377,0.962931107,0.355345021,0.612238467,0.922152813,0.981591063,0.155812933,0.53837779,0.259283967
0.879554449,0.834188022,0.2385382,0.108668104,0.256110213,0.750427582,0.460466497,0.883470912,0.884544808,0.923548552,0.253528805,0.592270005,0.216588837
0.849332993,0.813215333,0.253682701,0.089650418,0.32316873,0.718399127,0.395826659,0.852046086,0.859051524,0.897708854,0.271656566,0.46162221,0.174560818
0.854163686,0.80886968,0.243609284,0.095401479,0.146782541,0.936042119,0.19629989,0.842917752,0.974578183,0.971928018,0.223255698,0.363636364,0.074494107
0.221365083,0.16848561,0.918570596,0.058052622,0.379142405,0.919639559,0.324929214,0.270702144,0.94361088,0.942836222,0.289984744,0.837778987,0.231932399
0.352994851,0.200203024,0.924462665,0.239155887,0.445462608,0.99109175,0.155386426,0.344937751,0.989370203,0.977913339,0.052896754,0.622754491,0.125194574
0.724124909,0.668351584,0.382422912,0.1202704,0.117266124,0.941086362,0.078198753,0.701225143,0.979531866,0.975806448,0.279111669,0.409635275,0.155436958
0.54413326,0.443300561,0.666070639,0.365630731,0.418565326,0.828823006,0.392090476,0.560044822,0.823158672,0.850912026,0.168995282,0.484757757,0.276851234
0.418800524,0.32693932,0.738775923,0.222281426,0.311984745,0.973506346,0.047997708,0.400446113,0.978293555,0.967225384,0.214598368,0.811921611,0.066044029
0.408704089,0.29812162,0.777908306,0.446364482,0.100716128,0.992631728,0.237454883,0.401967688,0.994360623,0.982617745,0.249170318,0.559063691,0.082499444
0.99165482,0.990475076,0.014275737,0.01675408,0.171955123,0.672519959,0.273173784,0.992834132,0.898646942,0.929773422,0.271656566,0.554436581,0.301534356
0.43341449,0.332042768,0.825952774,0.075386901,0.480478602,0.953039976,0.317804401,0.476143359,0.922939081,0.959578717,0.538945623,0.524768645,0.163219924
